Designator,Footprint,Quantity,Value,LCSC Part #
C100,0805,1,10u,C96446
C101,0805,1,10u,C96446
C104,0805,1,10nF,
C108,0805,1,1uF,
C200,0805,1,4u7,C29823
C201,0805,1,100n,
C202,0805,1,100n,
C203,0805,1,100n,
C204,0805,1,100n,
C205,0805,1,100n,
C206,0805,1,1u,
C207,0805,1,10n,
C208,0603,1,2u2,
C209,0603,1,2u2,
C210,0805,1,12p,
C211,0805,1,12p,
C212,0805,1,100n,
C300,0805,1,0u22,
C301,0805,1,4u7,
C302,0805,1,4u7,C29823
C303,0805,1,0u1,
C304,0805,1,0u1,
C305,0805,1,0u1,
C306,0805,1,10n,
C307,0805,1,0u1,
C308,0805,1,2n2,
Cp102,0805,1,0u47F/50V,
Cp103,0805,1,2u2F/50V,
Cp105,0805,1,3u3F,
Cp106,0805,1,0u1,
Cp107,0805,1,22u/25,
D100,D_SMA,1,D_Zener_Small,
D101,0603,1,RED,
D103,0603,1,RED,
D200,0603,1,Yellow,
D201,0603,1,B,
D202,0603,1,G,
D203,0603,1,R,
D_Sch100,TO-277,1,D_Schottky_Small,
F100,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,1,500mA,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
HMC5883,PLCC16-0.5-3X3MM,1,HMC5883L,
J100,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
J200,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J201, J203, J204, J205",PinSocket_1x04_P2.54mm_Vertical,4,Conn_01x04,
"J207, J208, J209",PinSocket_1x05_P2.54mm_Vertical,3,Conn_01x05,
J300,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
JP100,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Open,
L100,L_Bourns_SRR1208_12.7x12.7mm,1,220u,
L200,0805,1,10u,
MMA8451,QFN50P300X300X100-16N,1,MMA8451QR1,
MPU6050,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
Q100,bsp171,1,BSP 171,
R100,0603,1,10k,
R102,0603,1,1k,
R103,0603,1,127k,
R104,0603,1,14k,
R105,0603,1,47k,
R106,0603,1,4M7,
R107,0603,1,1k,
R108,0603,1,499k,
R109,0603,1,10k,
R200,0603,1,10k,
R201,0603,1,0,
R202,0603,1,2k2,
R203,0603,1,2k2,
R204,0603,1,1k,
R205,0603,1,1k,
R206,0603,1,1k,
R207,0603,1,1k,
R208,0603,1,5k1,
R209,0603,1,5k1,
R220,0603,1,10k,
R300,0603,1,10k,
R301,0603,1,100,
R302,0603,1,100,
R303,0603,1,22,
R405,0603,1,22,
R406,0603,1,22,
R407,0603,1,22,
RV1,TRIM_TC33X-2-103E,1,R_Potentiometer_Small,
SW200,SW_SPDT_PCM12,1,BOOT0,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,LM5017MR,
U101,SOT-223-3_TabPin2,1,LVR 3.3V,
U200,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
U201,SOT-23-6,1,USBLC6-2SC6,
USB_C1,JAE_DX07S016JA1R1500,1,USB_C_receptacle,
Y200,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,
