Designator,Mid X,Mid Y,Rotation,Layer
C100,161.9,-135.05,270.0,top
C101,150.6,-135.175,270.0,top
C104,192.85,-118.45,180.0,top
C108,192.25,-126.95,180.0,top
C200,137.65,-118.4,180.0,top
C201,148.15,-118.075,270.0,top
C202,132.4,-105.975,270.0,top
C203,137.65,-120.75,180.0,top
C204,138.0,-100.2,90.0,top
C205,151.925,-104.0,0.0,top
C206,131.925,-112.175,180.0,top
C207,131.95,-114.55,180.0,top
C208,145.875,-118.1,270.0,top
C209,151.925,-106.25,0.0,top
C210,130.1,-106.0,90.0,top
C211,124.05,-106.025,270.0,top
C212,167.1,-83.6,270.0,top
C300,139.15,-85.25,0.0,top
C301,139.2,-87.7,0.0,top
C302,114.2,-134.15,270.0,top
C303,116.8,-134.15,270.0,top
C304,119.2,-134.15,270.0,top
C305,117.175,-87.95,0.0,top
C306,117.2,-90.25,0.0,top
C307,112.6,-93.75,270.0,top
C308,117.2,-85.85,0.0,top
Cp102,176.875,-122.7,180.0,top
Cp103,176.85,-120.0,180.0,top
Cp105,192.25,-131.7,180.0,top
Cp106,192.25,-129.1,0.0,top
Cp107,181.625,-107.575,180.0,top
D100,173.3,-145.0,270.0,top
D101,157.0,-139.9,90.0,top
D103,181.825,-109.875,0.0,top
D200,143.85,-98.0125,270.0,top
D201,119.0,-103.8,0.0,top
D202,119.0125,-105.5,0.0,top
D203,119.0125,-107.2,0.0,top
D_Sch100,175.95,-107.4,90.0,top
F100,177.475,-145.05,90.0,top
HMC5883,132.45,-88.9,0.0,top
J100,182.25,-143.1,0.0,top
J200,159.08,-77.15,90.0,top
J201,115.98,-77.1,90.0,top
J203,129.78,-77.1,90.0,top
J204,102.2,-114.88,0.0,top
J205,179.88,-77.3,90.0,top
J207,116.86,-147.7,90.0,top
J208,102.1,-136.55,180.0,top
J209,102.4,-99.24,0.0,top
J300,102.5,-87.2,0.0,top
JP100,152.82,-146.8,90.0,top
L100,191.2,-107.45,90.0,top
L200,131.85,-116.8,0.0,top
MMA8451,114.67,-129.9906,180.0,top
MPU6050,112.12,-88.0,0.0,top
Q100,166.65,-145.0,180.0,top
R100,177.5,-147.15,0.0,top
R102,155.1,-139.975,270.0,top
R103,177.075,-127.15,180.0,top
R104,177.1,-128.75,0.0,top
R105,193.075,-120.5,0.0,top
R106,193.05,-122.2,0.0,top
R107,185.95,-127.3,0.0,top
R108,177.05,-125.5,0.0,top
R109,182.025,-111.975,180.0,top
R200,147.1,-140.9,90.0,top
R201,132.15,-110.125,0.0,top
R202,138.15,-128.85,180.0,top
R203,138.175,-131.05,180.0,top
R204,145.75,-98.0375,90.0,top
R205,115.8,-103.8,0.0,top
R206,115.875,-105.5,0.0,top
R207,115.875,-107.2,0.0,top
R208,141.65,-137.45,270.0,top
R209,131.6,-137.375,270.0,top
R220,150.15,-118.25,270.0,top
R300,112.2,-134.025,270.0,top
R301,108.45,-93.525,270.0,top
R302,110.45,-93.5,90.0,top
R303,129.8,-88.1,0.0,top
R405,159.575,-83.2,270.0,top
R406,157.85,-83.225,270.0,top
R407,169.2,-83.375,270.0,top
RV1,186.9,-130.2,180.0,top
SW200,146.3,-146.47,0.0,top
U1,183.675,-123.35,0.0,top
U101,156.95,-132.3625,90.0,top
U200,141.74,-109.42,0.0,top
U201,136.4825,-137.25,0.0,top
USB_C1,136.0,-144.16,0.0,top
Y200,127.05,-106.425,90.0,top
